avg_HRE,avg_heart_rate,avg_pace,enhanced_avg_speed,filename,sport,sub_sport,time_created,total_distance,total_elapsed_time,total_timer_time,avg_running_cadence
1924.3313763861706,118.0,16.307893020221787,1.022,activities\2020-09-22T04_04_12+00_00_5573595234.fit,swimming,lap_swimming,2020-09-22 04:04:13,3.15,01:00:21,01:00:02,
722.9707525468287,132.0,5.4770511556577945,3.043,activities\2020-09-22T15_59_28+00_00_5576558217.fit,running,generic,2020-09-22 15:59:28,16.01241,01:28:48,01:27:41,89.0
1915.9036961681925,113.0,16.9548999660902,0.983,activities\2020-09-23T17_40_22+00_00_5582381264.fit,swimming,lap_swimming,2020-09-23 17:40:23,2.85,01:03:26,01:03:02,
735.5242566510173,141.0,5.216484089723528,3.195,activities\2020-09-24T16_08_49+00_00_5586273435.fit,running,generic,2020-09-24 16:08:49,19.01148,01:40:01,01:39:11,90.0
714.5732689210952,142.0,5.032206119162642,3.312,activities\2020-09-25T15_53_44+00_00_5590324116.fit,running,generic,2020-09-25 15:53:45,19.01434,01:38:03,01:35:40,92.0
2041.8848167539268,117.0,17.452006980802793,0.955,activities\2020-09-26T04_02_00+00_00_5591935048.fit,swimming,lap_swimming,2020-09-26 04:02:39,3.0,01:03:08,01:02:56,
298.4453081621321,129.0,2.313529520636683,7.204,activities\2020-09-26T12_19_48+00_00_5594435165.fit,cycling,generic,2020-09-26 12:19:48,83.17164,03:20:37,03:12:24,
896.8609865470851,96.0,9.342301943198805,1.784,activities\2020-09-27T19_33_02+00_00_5601054263.fit,walking,generic,2020-09-27 19:33:02,12.00562,01:54:50,01:52:09,
740.8575031525852,141.0,5.254308532997057,3.1719999999999997,activities\2020-09-28T15_51_22+00_00_5604306432.fit,running,generic,2020-09-28 15:51:22,24.01105,02:08:14,02:06:10,91.0
1458.9905362776028,111.0,13.144058885383807,1.268,activities\2020-09-29T04_04_14+00_00_5608987587.fit,swimming,lap_swimming,2020-09-29 04:04:15,2.95,01:05:43,01:05:25,
745.9435914189262,137.0,5.444843732984864,3.0610000000000004,activities\2020-09-29T16_11_35+00_00_5608990129.fit,running,generic,2020-09-29 16:11:36,16.019190000000002,01:28:30,01:27:12,90.0
1943.6345966958213,120.0,16.19695497246518,1.0290000000000001,activities\2020-09-30T17_36_10+00_00_5614172507.fit,swimming,lap_swimming,2020-09-30 17:36:11,3.5,01:09:16,01:08:49,
